,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num,neg_score,neu_score,pos_score,pos-neg,pos-neu,neg-neu,neu-neg
5,28024,65,1.5,7962,now they slowly met and touched twice,1b1159fc-de2b-4ae5-a736-d98d8524a366,5,0.003993883728981018,0.7315547466278076,0.26445135474205017,0.26045747101306915,-0.46710339188575745,-0.7275608628988266,0.7275608628988266
3,28022,59,1.5,8002,The dots meet each other warmly.,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3,0.004203878343105316,0.1691526472568512,0.8266435265541077,0.8224396482110023,0.6574908792972565,-0.16494876891374588,0.16494876891374588
3,28083,46,1.5,8083,both meeting each other ,50919f52-6a9c-4824-b24f-2f1aebd58e1b,3,0.005532244220376015,0.8611018061637878,0.1333659440279007,0.12783369980752468,-0.7277358621358871,-0.8555695619434118,0.8555695619434118
1,28050,98,1.5,8648,slowly came together ,8ed7c0fc-1490-4e35-a000-7f7357a0772a,1,0.006125020794570446,0.35510891675949097,0.6387659907341003,0.6326409699395299,0.2836570739746094,-0.3489838959649205,0.3489838959649205
1,28070,26,1.5,8284,The dots moved to the left and down and collided gently twice.,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,1,0.006636057049036026,0.873457670211792,0.11990615725517273,0.1132701002061367,-0.7535515129566193,-0.866821613162756,0.866821613162756
4,28060,19,1.5,8103,slowly came together twice,0e704828-9ccd-480e-8056-3a2a8158df0f,4,0.007296339608728886,0.7579010725021362,0.2348024994134903,0.2275061598047614,-0.5230985730886459,-0.7506047328934073,0.7506047328934073
5,28013,42,1.5,8223,the dots seemed to move more gently this time and almost met each other gently twice instead of colliding with each other this time.,8ed7c0fc-1490-4e35-a000-7f7357a0772a,5,0.0075347451493144035,0.6362537741661072,0.356211394071579,0.3486766489222646,-0.2800423800945282,-0.6287190290167928,0.6287190290167928
5,28086,50,1.5,8169,they are exchanging greetings,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,5,0.00909606833010912,0.800054132938385,0.19084975123405457,0.18175368290394545,-0.6092043817043304,-0.7909580646082759,0.7909580646082759
2,28087,48,1.5,8067,The dots approached each other cautiously and interacted a little with each other,e4bc0778-6eb7-4065-bf77-a9b6e293735f,2,0.009383102878928185,0.8934256434440613,0.097191222012043,0.08780811913311481,-0.7962344214320183,-0.8840425405651331,0.8840425405651331
5,28081,43,1.5,8038,swimming toeards each other nicely ,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,5,0.011422001756727695,0.39696255326271057,0.5916154384613037,0.580193436704576,0.19465288519859314,-0.3855405515059829,0.3855405515059829
4,28020,49,1.5,8008,dots gently came together,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,4,0.011601053178310394,0.45024874806404114,0.5381502509117126,0.5265491977334023,0.08790150284767151,-0.43864769488573074,0.43864769488573074
6,28073,35,1.5,8034,the two dots gently nodded each other in a bromance,15dfbaca-4429-4c18-90f4-8d4804129e6f,6,0.011895321309566498,0.6675183773040771,0.3205863833427429,0.3086910620331764,-0.34693199396133423,-0.6556230559945107,0.6556230559945107
0,28048,89,1.5,8137,The 2 dots connect to each other twice,50919f52-6a9c-4824-b24f-2f1aebd58e1b,0,0.012341652065515518,0.8499420285224915,0.13771644234657288,0.12537479028105736,-0.7122255861759186,-0.8376003764569759,0.8376003764569759
6,28028,68,1.5,8072,"both dots very slowly hit each other, the black was the one to make the first move.",8ed7c0fc-1490-4e35-a000-7f7357a0772a,6,0.01281491108238697,0.8853011727333069,0.10188383609056473,0.08906892500817776,-0.7834173366427422,-0.8724862616509199,0.8724862616509199
2,28094,57,1.5,7987,They circled below the box and touched each other slowly,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,2,0.014537693932652473,0.9150238037109375,0.07043859362602234,0.055900899693369865,-0.8445852100849152,-0.900486109778285,0.900486109778285
5,28038,86,1.5,8108,They were moving really slowly this time but still touching each other.,1f6c6525-a740-48c2-8dfc-9c4fb520c630,5,0.014784185215830803,0.8663452863693237,0.11887045204639435,0.10408626683056355,-0.7474748343229294,-0.8515611011534929,0.8515611011534929
5,28039,90,1.5,8029,The two dots gently clashed,e838dadb-c02f-4273-ae93-210720dcd06c,5,0.01522339042276144,0.71319180727005,0.27158471941947937,0.25636132899671793,-0.4416070878505707,-0.6979684168472886,0.6979684168472886
6,28025,63,1.5,8171,dots gently drifted towards each other to the point of colliding. the black dot seemed to instigate the drift towards the grey dot,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,6,0.01555471308529377,0.9151362180709839,0.0693090558052063,0.05375434271991253,-0.8458271622657776,-0.8995815049856901,0.8995815049856901
3,28035,84,1.5,8031,gentle collide ,b3a507ff-2289-4ad3-8922-1a3d0532e154,3,0.016167178750038147,0.85631263256073,0.1275201141834259,0.11135293543338776,-0.7287925183773041,-0.8401454538106918,0.8401454538106918
6,28093,56,1.5,8049,circular mirrored movements from  dots then slowly bumping eachother,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,6,0.01675034500658512,0.9205737113952637,0.06267602741718292,0.0459256824105978,-0.8578976839780807,-0.9038233663886786,0.9038233663886786
5,28088,52,1.5,8191,the two dots is moving friendly.,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,5,0.01710350438952446,0.5400529503822327,0.44284340739250183,0.42573990300297737,-0.09720954298973083,-0.5229494459927082,0.5229494459927082
